Target Name,Target Accession,Target Length,Query Name,Query Accession,Query Length,E-value,Score,Bias,Domain Index,Domain Count,Cond. E-value,Domain Ind. E-value,Domain Bit-score,Domain Bias,Query Ali. Start,Query Ali. End,Target Ali. Start,Target Ali. End,Target Env. Start,Target Env. End,Acc,Description,Mapped PDB(s),Number of Identical Sequences,targetCoverage
NAEGRDRAFT_83001,NAEGRDRAFT_83001,550,Query,-,528,7.7e-182,618.5,8.6,1,1,3.9e-186,9.4e-182,618.2489624,8.6,2,526,6,533,5,535,0.98,chaperone-t-complex eta subunit,,0,1
PHPALM_20492,PHPALM_20492,546,Query,-,528,7.8e-182,618.5,17.1,1,1,3.9e-186,9.3e-182,618.2605591,17.12,13,526,11,545,2,546,0.98,T-complex protein 1, alpha subunit,,0,1.01325757575758
PCOAH_00021460,PCOAH_00021460,535,Query,-,528,7.8e-182,618.5,13.8,1,1,3.9e-186,9.4e-182,618.2440186,13.83,2,519,10,531,9,534,0.98,T-complex protein 1 epsilon subunit,,0,0.988636363636364
HannXRQ_Chr12g0383091,HannXRQ_Chr12g0383091,546,Query,-,528,8.1e-182,618.5,19.6,1,1,4.1e-186,9.7e-182,618.1964722,19.58,13,525,13,542,5,545,0.98,putative T-complex protein 1 subunit alpha,,0,1.00378787878788
GSEM1_T00005719001,GSEM1_T00005719001,571,Query,-,528,8.2e-182,618.4,2.6,1,1,4.1e-186,9.7e-182,618.2033691,2.57,3,526,4,531,2,533,0.97,,,0,1
BBOV_IV006970,BBOV_IV006970,534,Query,-,528,8.9e-182,618.3,12.1,1,1,4.5e-186,1.1e-181,618.0429077,12.12,4,524,8,531,6,534,0.98,T-complex protein 1 eta subunit, putative,,0,0.992424242424242
SUSAZ_06700,SUSAZ_06700,558,Query,-,528,8.9e-182,618.3,20,1,1,4.5e-186,1.1e-181,618.055542,20,3,523,3,535,1,540,0.96,thermosome subunit,,0,1.0094696969697
TRSC58_03738,TRSC58_03738,538,Query,-,528,8.9e-182,618.3,0.4,1,1,4.2e-186,1e-181,618.1570435,0.41,3,523,11,536,9,538,0.98,chaperonin containing T-complex protein,,0,0.996212121212121
PHAVU_002G326300g,PHAVU_002G326300g,533,Query,-,528,9e-182,618.3,17.6,1,1,4.4e-186,1.1e-181,618.0753784,17.57,13,519,19,532,8,533,0.98,hypothetical protein,,0,0.973484848484849
Esi_0006_0148,Esi_0006_0148,552,Query,-,528,9.2e-182,618.3,15.9,1,1,4.4e-186,1.1e-181,618.0874634,15.85,13,526,3,537,1,539,0.98,conserved unknown protein,,0,1.01325757575758
MARPO_0009s0121,MARPO_0009s0121,556,Query,-,528,9.7e-182,618.2,6.8,1,1,4.8e-186,1.1e-181,617.97052,6.82,2,524,2,530,1,533,0.99,hypothetical protein,,0,1.00189393939394
TEOVI_000057300,TEOVI_000057300,568,Query,-,528,9.9e-182,618.2,0.2,1,1,5e-186,1.2e-181,617.9092407,0.24,3,524,4,528,2,532,0.98,T-complex protein 1, eta subunit, putative,,0,0.994318181818182
DPX39_090065700,DPX39_090065700,568,Query,-,528,9.9e-182,618.2,0.2,1,1,5e-186,1.2e-181,617.9092407,0.24,3,524,4,528,2,532,0.98,T-complex protein 1,,0,0.994318181818182
Tb09.211.2570,Tb09.211.2570,568,Query,-,528,9.9e-182,618.2,0.2,1,1,5e-186,1.2e-181,617.9092407,0.24,3,524,4,528,2,532,0.98,t-complex protein 1, eta subunit, putative,,0,0.994318181818182
BXIN_2005,BXIN_2005,535,Query,-,528,1e-181,618.1,13.3,1,1,5.5e-186,1.3e-181,617.765625,13.26,4,521,8,529,6,534,0.98,T-complex protein 1 subunit eta,,0,0.988636363636364
Zm00001d018349,Zm00001d018349,545,Query,-,528,1e-181,618.1,18.4,1,1,5.2e-186,1.2e-181,617.8411865,18.4,13,526,13,543,5,545,0.98,T-complex protein 1 subunit alpha,,1,1.00568181818182
MARPO_0099s0028,MARPO_0099s0028,544,Query,-,528,1e-181,618.1,20.2,1,1,5e-186,1.2e-181,617.9180908,20.16,8,524,6,539,1,543,0.98,hypothetical protein,,0,1.01136363636364
PBANKA_121820,PBANKA_121820,535,Query,-,528,1.1e-181,618.1,11.9,1,1,5.5e-186,1.3e-181,617.7636108,11.85,2,519,10,531,9,534,0.98,T-complex protein 1 epsilon subunit, putative,,0,0.988636363636364
C468_02534,C468_02534,532,Query,-,528,1.1e-181,618,16.8,1,1,5.3e-186,1.3e-181,617.8085938,16.8,23,521,1,496,1,502,0.99,thermosome,,0,0.939393939393939
L593_05900,L593_05900,559,Query,-,528,1.1e-181,618,23.6,1,1,5.6e-186,1.3e-181,617.7372437,23.63,2,522,3,520,2,525,0.99,thermosome,,0,0.981060606060606
DYB37_005573,DYB37_005573,543,Query,-,528,1.1e-181,618,16.1,1,1,5.6e-186,1.3e-181,617.7313232,16.1,13,526,8,542,3,543,0.98,hypothetical protein,,0,1.01325757575758
AT3G18190,AT3G18190,536,Query,-,528,1.1e-181,618,15,1,1,5.8e-186,1.4e-181,617.696106,15.03,13,519,22,535,13,536,0.98,T-complex protein 1 subunit delta [Source:UniProtKB/Swiss-Prot;Acc:Q9LV21],,0,0.973484848484849
PGSC0003DMG400023453,PGSC0003DMG400023453,555,Query,-,528,1.1e-181,618,9.4,1,1,5.8e-186,1.4e-181,617.6835327,9.41,2,524,2,530,1,533,0.99,Chaperonin containing t-complex protein 1, gamma subunit, tcpg [Source:PGSC_GENE;Acc:PGSC0003DMG400023453],,0,1.00189393939394
PAHAL_5G432900,PAHAL_5G432900,525,Query,-,528,1.2e-181,617.9,13.5,1,1,5.8e-186,1.4e-181,617.6883545,13.46,7,525,4,522,2,525,0.98,hypothetical protein,,0,0.982954545454545
Csa_2G099450,Csa_2G099450,545,Query,-,528,1.2e-181,617.8,19.4,1,1,6.2e-186,1.5e-181,617.5894165,19.4,13,526,13,543,4,545,0.98,T-complex protein 1 subunit alpha,,0,1.00568181818182
DYB38_006754,DYB38_006754,543,Query,-,528,1.3e-181,617.8,16.1,1,1,6.4e-186,1.5e-181,617.5409546,16.14,13,526,8,542,3,543,0.98,hypothetical protein,,0,1.01325757575758
Csa_1G042650,Csa_1G042650,533,Query,-,528,1.3e-181,617.8,14.6,1,1,6.2e-186,1.5e-181,617.6067505,14.59,12,519,18,532,7,533,0.98,hypothetical protein,,0,0.975378787878788
CEY00_Acc11877,CEY00_Acc11877,524,Query,-,528,1.3e-181,617.8,14.6,1,1,7e-186,1.7e-181,617.4210205,14.56,7,523,4,520,2,523,0.98,T-complex protein 1 subunit beta like,,0,0.979166666666667
GSHART1_T00005954001,GSHART1_T00005954001,571,Query,-,528,1.3e-181,617.8,1.9,1,1,6.5e-186,1.5e-181,617.5305176,1.94,3,526,4,531,2,533,0.98,,,0,1
DYB36_000551,DYB36_000551,543,Query,-,528,1.3e-181,617.7,15.8,1,1,6.8e-186,1.6e-181,617.4563599,15.83,13,526,8,542,3,543,0.98,hypothetical protein,,3,1.01325757575758
MARPO_0071s0007,MARPO_0071s0007,526,Query,-,528,1.4e-181,617.7,11.2,1,1,6.4e-186,1.5e-181,617.5479736,11.2,6,526,4,524,1,526,0.98,hypothetical protein,,0,0.986742424242424
g21562,g21562,536,Query,-,528,1.4e-181,617.7,14.3,1,1,7.3e-186,1.7e-181,617.3671265,14.26,13,519,22,535,13,536,0.98,,,0,0.973484848484849
GSPATT00010811001,GSPATT00010811001,535,Query,-,528,1.5e-181,617.6,9.8,1,1,7.4e-186,1.8e-181,617.3391724,9.81,5,518,13,531,9,534,0.98,,,0,0.982954545454545
FRACYDRAFT_259523,FRACYDRAFT_259523,553,Query,-,528,1.5e-181,617.6,12,1,1,7e-186,1.7e-181,617.4251099,12,3,520,11,550,9,553,0.96,hypothetical protein,,0,1.02272727272727
DFA_09117,DFA_09117,547,Query,-,528,1.5e-181,617.6,1.8,1,1,7e-186,1.7e-181,617.4230347,1.77,10,526,5,521,1,523,0.98,chaperonin containing TCP1 eta subunit,,0,0.979166666666667
cgd4_3860,cgd4_3860,570,Query,-,528,1.5e-181,617.5,2.9,1,1,7.5e-186,1.8e-181,617.331665,2.89,3,526,17,549,15,551,0.98,TCP-1/cpn60 chaperonin family, T-complex protein subunit 7 (eta),,0,1.0094696969697
PRUPE_5G227000,PRUPE_5G227000,535,Query,-,528,1.6e-181,617.5,16.2,1,1,7.7e-186,1.8e-181,617.2855225,16.19,12,519,20,534,9,535,0.98,hypothetical protein,,0,0.975378787878788
DYB35_005509,DYB35_005509,553,Query,-,528,1.6e-181,617.5,16.8,1,1,7.8e-186,1.9e-181,617.2590332,16.82,13,526,18,552,8,553,0.98,hypothetical protein,,0,1.01325757575758
TraesCS4A02G427500,TraesCS4A02G427500,537,Query,-,528,1.6e-181,617.4,19.5,1,1,8.3e-186,2e-181,617.1725464,19.5,13,524,13,533,4,537,0.98,,,0,1.00189393939394
PHYSODRAFT_553624,PHYSODRAFT_553624,546,Query,-,528,1.8e-181,617.3,16.8,1,1,8.9e-186,2.1e-181,617.0809937,16.76,13,526,11,545,2,546,0.98,hypothetical protein,,0,1.01325757575758
MARPO_0047s0069,MARPO_0047s0069,534,Query,-,528,1.8e-181,617.3,14.7,1,1,9.3e-186,2.2e-181,617.0117798,14.65,13,519,20,533,13,534,0.98,hypothetical protein,,0,0.973484848484849
Tco025E_06339,Tco025E_06339,538,Query,-,528,1.8e-181,617.3,0.7,1,1,8.5e-186,2e-181,617.1500244,0.68,5,524,13,537,9,538,0.98,T-complex protein 1 subunit epsilon,,0,0.994318181818182
EPrPwG00000015795,EPrPwG00000015795,530,Query,-,528,1.8e-181,617.3,2.6,1,1,8.5e-186,2e-181,617.1447144,2.65,2,521,3,526,2,530,0.99,T-complex protein 1 subunit gamma.[Source:PGD;Acc:maker-piw_contig_217-fgenesh-gene-0.6],,0,0.992424242424242
LR48_Vigan1091s002200,LR48_Vigan1091s002200,533,Query,-,528,1.8e-181,617.3,17,1,1,9.3e-186,2.2e-181,617.0215454,16.97,13,519,19,532,9,533,0.98,hypothetical protein,,0,0.973484848484849
PKH_082070,PKH_082070,535,Query,-,528,1.9e-181,617.2,14.6,1,1,9.5e-186,2.3e-181,616.9849854,14.65,2,519,10,531,9,534,0.98,T-complex protein 1 epsilon subunit, putative,,1,0.988636363636364
PKNOH_S100049200,PKNOH_S100049200,535,Query,-,528,1.9e-181,617.2,14.6,1,1,9.5e-186,2.3e-181,616.9849854,14.65,2,519,10,531,9,534,0.98,putative T-complex protein 1 epsilon subunit,,0,0.988636363636364
GQ55_5G437600,GQ55_5G437600,525,Query,-,528,1.9e-181,617.2,14,1,1,9.6e-186,2.3e-181,616.9762573,14,7,525,4,522,2,525,0.98,hypothetical protein,,0,0.982954545454545
PTSG_09309,PTSG_09309,532,Query,-,528,2.1e-181,617.1,16.7,1,1,9.9e-186,2.4e-181,616.9204712,16.68,4,525,7,528,4,531,0.98,chaperonin containing TCP1,,0,0.988636363636364
TRIDC4AG007470,TRIDC4AG007470,535,Query,-,528,2.1e-181,617.1,11.8,1,1,1.1e-185,2.5e-181,616.8381348,11.82,7,525,14,532,9,535,0.98,,,0,0.982954545454545
SDRG_06630,SDRG_06630,530,Query,-,528,2.1e-181,617.1,4.1,1,1,1e-185,2.4e-181,616.9146729,4.12,1,520,2,526,2,530,0.99,T-complex protein 1 subunit gamma,,0,0.994318181818182
SETIT_006193mg,SETIT_006193mg,545,Query,-,528,2.1e-181,617.1,19.9,1,1,1.1e-185,2.6e-181,616.8098145,19.89,13,526,13,543,3,545,0.98,hypothetical protein,,0,1.00568181818182
THRCLA_03690,THRCLA_03690,1361,Query,-,528,2.2e-181,617,17.6,1,1,1.2e-185,2.9e-181,616.6212158,17.56,13,525,826,1359,817,1361,0.98,T-complex protein 1 subunit alpha,,0,1.01136363636364
PGSC0003DMG400026026,PGSC0003DMG400026026,545,Query,-,528,2.3e-181,617,16.8,1,1,1.1e-185,2.5e-181,616.836853,16.79,6,527,6,544,1,545,0.98,T-complex protein 1 subunit alpha [Source:PGSC_GENE;Acc:PGSC0003DMG400026026],,0,1.02083333333333
CEY00_Acc12727,CEY00_Acc12727,524,Query,-,528,2.3e-181,617,14.5,1,1,1.2e-185,2.9e-181,616.6229248,14.53,7,523,4,520,2,523,0.98,T-complex protein 1 subunit beta like,,0,0.979166666666667
BRADI_1g49760v3,BRADI_1g49760v3,545,Query,-,528,2.3e-181,617,20.7,1,1,1.1e-185,2.7e-181,616.725708,20.75,13,524,13,541,2,545,0.98,hypothetical protein,,0,1.00189393939394
Nps_01155,Nps_01155,553,Query,-,528,2.3e-181,616.9,31.4,1,1,1.3e-185,3e-181,616.5750732,31.44,5,521,11,533,8,539,0.98,thermosome subunit,,0,0.990530303030303
PGO_081870,PGO_081870,535,Query,-,528,2.4e-181,616.9,14.1,1,1,1.2e-185,2.8e-181,616.6672363,14.12,2,519,10,531,9,534,0.98,T-complex protein 1, epsilon subunit,,0,0.988636363636364
EPrPwG00000023190,EPrPwG00000023190,535,Query,-,528,2.4e-181,616.9,13.5,1,1,1.2e-185,2.9e-181,616.6443481,13.54,14,519,20,534,11,535,0.98,T-complex protein 1 subunit delta.[Source:PGD;Acc:maker-piw_contig_2030-fgenesh-gene-0.0],,0,0.975378787878788
PC110_g19495,PC110_g19495,574,Query,-,528,2.4e-181,616.9,1.6,1,1,1.2e-185,2.8e-181,616.6646118,1.56,2,526,6,534,5,536,0.98,T-complex protein 1 subunit eta,,0,1.00189393939394
Solyc01g090750.3,Solyc01g090750.3,545,Query,-,528,2.5e-181,616.9,17.5,1,1,1.1e-185,2.7e-181,616.7200928,17.54,6,527,6,544,1,545,0.98,,,0,1.02083333333333
B456_011G133200,B456_011G133200,545,Query,-,528,2.5e-181,616.9,20.5,1,1,1.2e-185,2.9e-181,616.6080322,20.54,13,526,13,543,3,545,0.98,hypothetical protein,,0,1.00568181818182
PGSY75_0320300,PGSY75_0320300,535,Query,-,528,2.6e-181,616.8,12.5,1,1,1.3e-185,3.1e-181,616.5372925,12.49,2,519,10,531,9,534,0.98,putative T-complex protein 1 epsilon subunit,,0,0.988636363636364
GUITHDRAFT_160264,GUITHDRAFT_160264,522,Query,-,528,2.7e-181,616.8,9.7,1,1,1.4e-185,3.4e-181,616.4136963,9.67,13,516,9,518,2,521,0.98,cytosolic chaperonin protein, putative delta subunit,,0,0.965909090909091
MACJ_00001354,MACJ_00001354,803,Query,-,528,3e-181,616.6,7.1,1,1,1.3e-185,3e-181,616.5888062,7.11,3,519,278,798,276,802,0.98,T-complex protein 1 epsilon subunit,,0,0.986742424242424
TRIDC4AG063360,TRIDC4AG063360,525,Query,-,528,3e-181,616.6,19.7,1,1,1.4e-185,3.4e-181,616.413269,19.75,22,524,2,521,1,525,0.98,,,0,0.984848484848485
DCAR_009520,DCAR_009520,527,Query,-,528,3e-181,616.6,13.4,1,1,1.4e-185,3.4e-181,616.4229126,13.45,7,525,6,524,1,527,0.98,hypothetical protein,,0,0.982954545454545
A4A49_24367,A4A49_24367,545,Query,-,528,3.1e-181,616.6,17.5,1,1,1.6e-185,3.7e-181,616.2803955,17.51,9,526,9,543,2,545,0.98,t-complex protein 1 subunit alpha,,0,1.01325757575758
CmeUKMEL1_08200,CmeUKMEL1_08200,557,Query,-,528,3.1e-181,616.5,4.1,1,1,1.5e-185,3.6e-181,616.3306274,4.14,3,526,4,536,2,538,0.98,T-complex protein 1, eta subunit,,0,1.0094696969697
maker-pir_contig_691-fgenesh-gene-0.2,maker-pir_contig_691-fgenesh-gene-0.2,535,Query,-,528,3.2e-181,616.5,13,1,1,1.6e-185,3.9e-181,616.2202148,13.04,14,519,20,534,11,535,0.98,T-complex protein 1 subunit delta.[Source:PGD;Acc:maker-pir_contig_691-fgenesh-gene-0.2],,0,0.975378787878788
HORVU4Hr1G068820,HORVU4Hr1G068820,549,Query,-,528,3.3e-181,616.5,11.1,1,1,1.7e-185,4e-181,616.178772,11.11,7,525,28,546,23,549,0.98,,,0,0.982954545454545
estExt_Genewise1.C_880021,estExt_Genewise1.C_880021,529,Query,-,528,3.4e-181,616.4,10.8,1,1,1.6e-185,3.8e-181,616.2323608,10.85,2,521,2,525,1,529,0.98,,,0,0.992424242424242
TraesCS4A02G054800,TraesCS4A02G054800,525,Query,-,528,3.7e-181,616.3,12.4,1,1,1.9e-185,4.5e-181,616.0136108,12.36,7,525,4,522,2,525,0.98,,,0,0.982954545454545
HannXRQ_Chr05g0150641,HannXRQ_Chr05g0150641,527,Query,-,528,3.7e-181,616.3,14.5,1,1,1.7e-185,4.1e-181,616.1309204,14.49,6,525,5,524,1,527,0.98,putative TCP-1/cpn60 chaperonin family protein,,0,0.984848484848485
scaffold_302147.1,scaffold_302147.1,536,Query,-,528,3.8e-181,616.3,14,1,1,1.9e-185,4.6e-181,615.9666138,14.03,13,519,22,535,13,536,0.98,T-complex protein 1 subunit delta [Source:UniProtKB/TrEMBL;Acc:D7L808],,0,0.973484848484849
SteCoe_12685,SteCoe_12685,548,Query,-,528,3.9e-181,616.2,5.8,1,1,1.9e-185,4.5e-181,616.0011597,5.85,3,526,7,536,5,538,0.99,hypothetical protein,,0,1.00378787878788
PHAVU_002G245800g,PHAVU_002G245800g,545,Query,-,528,4.1e-181,616.1,20.7,1,1,2.1e-185,5e-181,615.8525391,20.71,13,526,13,543,2,545,0.98,hypothetical protein,,0,1.00568181818182
PGAL8A_00396000,PGAL8A_00396000,535,Query,-,528,4.2e-181,616.1,13.9,1,1,2.1e-185,5.1e-181,615.8205566,13.92,2,519,10,531,9,534,0.99,T-complex protein 1 subunit epsilon, putative,,0,0.988636363636364
estExt_Genewise1Plus.C_190042,estExt_Genewise1Plus.C_190042,542,Query,-,528,4.3e-181,616.1,5.3,1,1,2e-185,4.9e-181,615.8884277,5.25,3,523,7,530,5,535,0.98,,,0,0.992424242424242
DD238_003883,DD238_003883,546,Query,-,528,4.3e-181,616.1,16.4,1,1,2.1e-185,5.1e-181,615.8186035,16.42,13,526,11,545,2,546,0.98,hypothetical protein,,1,1.01325757575758
AMSG_04159,AMSG_04159,541,Query,-,528,4.4e-181,616,5.5,1,1,2.1e-185,5.1e-181,615.8334961,5.47,2,524,6,532,5,536,0.98,T-complex protein 1 subunit eta,,0,0.998106060606061
TraesCS7B02G124100,TraesCS7B02G124100,537,Query,-,528,4.6e-181,616,20.3,1,1,2.3e-185,5.4e-181,615.7286987,20.26,13,524,13,533,2,537,0.98,,,0,1.00189393939394
MANES_05G141000,MANES_05G141000,527,Query,-,528,4.9e-181,615.9,16.8,1,1,2.3e-185,5.4e-181,615.7442017,16.82,6,525,5,524,1,527,0.98,hypothetical protein,,0,0.984848484848485
SORBI_3003G112800,SORBI_3003G112800,525,Query,-,528,4.9e-181,615.9,14.7,1,1,2.5e-185,6e-181,615.6002197,14.72,7,525,4,522,2,525,0.98,hypothetical protein,,0,0.982954545454545
GLYMA_05G242700,GLYMA_05G242700,533,Query,-,528,4.9e-181,615.9,17.7,1,1,2.5e-185,5.9e-181,615.6149902,17.66,13,519,19,532,8,533,0.98,hypothetical protein,,0,0.973484848484849
maker-pag1_scaffold_168-fgenesh-gene-0.8,maker-pag1_scaffold_168-fgenesh-gene-0.8,536,Query,-,528,5.1e-181,615.8,15,1,1,2.6e-185,6.2e-181,615.5401611,14.96,14,519,21,535,13,536,0.98,T-complex protein 1 subunit delta.[Source:PGD;Acc:maker-pag1_scaffold_168-fgenesh-gene-0.8],,0,0.975378787878788
AK88_03259,AK88_03259,535,Query,-,528,5.1e-181,615.8,14.9,1,1,2.6e-185,6.2e-181,615.5484619,14.94,2,519,10,531,9,534,0.98,T-complex protein 1, epsilon subunit,,0,0.988636363636364
fgenesh_scip_prom.46568.8556,fgenesh_scip_prom.46568.8556,546,Query,-,528,5.2e-181,615.8,16.9,1,1,2.6e-185,6.2e-181,615.5376587,16.93,13,526,11,545,2,546,0.98,,,0,1.01325757575758
BBI17_000148,BBI17_000148,546,Query,-,528,5.2e-181,615.8,16.9,1,1,2.6e-185,6.2e-181,615.5376587,16.93,13,526,11,545,2,546,0.98,hypothetical protein,,1,1.01325757575758
CCACVL1_15904,CCACVL1_15904,545,Query,-,528,5.3e-181,615.8,19.8,1,1,2.7e-185,6.3e-181,615.5111084,19.82,13,526,13,543,3,545,0.98,Chaperonin Cpn60/TCP-1,,0,1.00568181818182
Dr04977,Dr04977,534,Query,-,528,5.4e-181,615.8,9.5,1,1,2.7e-185,6.5e-181,615.4723511,9.46,13,519,20,533,9,534,0.98,,,0,0.973484848484849
DCAR_015863,DCAR_015863,544,Query,-,528,5.4e-181,615.7,18.7,1,1,2.8e-185,6.6e-181,615.456604,18.69,13,525,11,540,3,543,0.98,hypothetical protein,,0,1.00378787878788
Bra001773,Bra001773,546,Query,-,528,5.4e-181,615.7,17.9,1,1,2.5e-185,5.9e-181,615.604126,17.93,13,525,13,543,1,546,0.97,AT3G20050 (E=4e-290) ATTCP-1 | ATTCP-1; ATP binding / protein binding / unfolded protein binding,,0,1.00568181818182
SDRG_13578,SDRG_13578,536,Query,-,528,5.6e-181,615.7,12.9,1,1,2.8e-185,6.7e-181,615.4286499,12.89,14,519,21,535,8,536,0.98,T-complex protein 1 subunit delta,,0,0.975378787878788
DLAC_08358,DLAC_08358,547,Query,-,528,5.8e-181,615.7,19.4,1,1,2.7e-185,6.5e-181,615.4665527,19.43,6,527,5,542,1,543,0.98,t-complex polypeptide 1,,0,1.01893939393939
AM588_10010955,AM588_10010955,546,Query,-,528,5.8e-181,615.6,16.7,1,1,2.9e-185,6.9e-181,615.3953857,16.68,13,526,11,545,2,546,0.98,Axonemal dynein light intermediate polypeptide 1,,1,1.01325757575758
F442_18982,F442_18982,546,Query,-,528,5.8e-181,615.6,16.7,1,1,2.9e-185,6.9e-181,615.3953857,16.68,13,526,11,545,2,546,0.98,T-complex protein 1, alpha subunit,,0,1.01325757575758
PPTG_05308,PPTG_05308,546,Query,-,528,5.8e-181,615.6,16.7,1,1,2.9e-185,6.9e-181,615.3953857,16.68,13,526,11,545,2,546,0.98,T-complex protein 1, alpha subunit,,0,1.01325757575758
F441_19017,F441_19017,546,Query,-,528,5.8e-181,615.6,16.7,1,1,2.9e-185,6.9e-181,615.3953857,16.68,13,526,11,545,2,546,0.98,T-complex protein 1, alpha subunit,,0,1.01325757575758
F444_19156,F444_19156,546,Query,-,528,5.8e-181,615.6,16.7,1,1,2.9e-185,6.9e-181,615.3953857,16.68,13,526,11,545,2,546,0.98,T-complex protein 1, alpha subunit,,0,1.01325757575758
F443_19204,F443_19204,546,Query,-,528,5.8e-181,615.6,16.7,1,1,2.9e-185,6.9e-181,615.3953857,16.68,13,526,11,545,2,546,0.98,T-complex protein 1, alpha subunit,,0,1.01325757575758
L915_18627,L915_18627,546,Query,-,528,5.8e-181,615.6,16.7,1,1,2.9e-185,6.9e-181,615.3953857,16.68,13,526,11,545,2,546,0.98,T-complex protein 1, alpha subunit,,2,1.01325757575758
DD238_002237,DD238_002237,579,Query,-,528,6.2e-181,615.6,1.2,1,1,3e-185,7.2e-181,615.3346558,1.2,2,526,6,534,5,536,0.98,hypothetical protein,,1,1.00189393939394
LR48_Vigan01g036800,LR48_Vigan01g036800,545,Query,-,528,6.2e-181,615.5,21.1,1,1,3.1e-185,7.5e-181,615.2700806,21.08,13,526,13,543,2,545,0.98,hypothetical protein,,0,1.00568181818182
F442_06216,F442_06216,580,Query,-,528,6.2e-181,615.5,1.7,1,1,3e-185,7.2e-181,615.3278198,1.69,2,526,6,534,5,536,0.98,T-complex protein 1, eta subunit,,0,1.00189393939394
F444_06241,F444_06241,580,Query,-,528,6.2e-181,615.5,1.7,1,1,3e-185,7.2e-181,615.3278198,1.69,2,526,6,534,5,536,0.98,T-complex protein 1, eta subunit, variant,,0,1.00189393939394
F443_06180,F443_06180,580,Query,-,528,6.2e-181,615.5,1.7,1,1,3e-185,7.2e-181,615.3278198,1.69,2,526,6,534,5,536,0.98,T-complex protein 1, eta subunit,,0,1.00189393939394
L915_06055,L915_06055,580,Query,-,528,6.2e-181,615.5,1.7,1,1,3e-185,7.2e-181,615.3278198,1.69,2,526,6,534,5,536,0.98,T-complex protein 1, eta subunit,,2,1.00189393939394
AM587_10002508,AM587_10002508,580,Query,-,528,6.2e-181,615.5,1.7,1,1,3e-185,7.2e-181,615.3278198,1.69,2,526,6,534,5,536,0.98,T-complex protein 1 subunit eta,,0,1.00189393939394
F441_06190,F441_06190,580,Query,-,528,6.2e-181,615.5,1.7,1,1,3e-185,7.2e-181,615.3278198,1.69,2,526,6,534,5,536,0.98,T-complex protein 1, eta subunit,,0,1.00189393939394
PPTG_02310,PPTG_02310,580,Query,-,528,6.2e-181,615.5,1.7,1,1,3e-185,7.2e-181,615.3278198,1.69,2,526,6,534,5,536,0.98,T-complex protein 1, eta subunit,,0,1.00189393939394
MCON_1698,MCON_1698,559,Query,-,528,6.3e-181,615.5,20.3,1,1,3.4e-185,8.2e-181,615.1453247,20.29,7,522,11,524,6,529,0.97,thermosome subunit gamma,,0,0.973484848484849
L916_18531,L916_18531,546,Query,-,528,6.4e-181,615.5,16.8,1,1,3.2e-185,7.7e-181,615.2377319,16.84,13,526,11,545,2,546,0.98,T-complex protein 1, alpha subunit,,0,1.01325757575758
PHMEG_00012244,PHMEG_00012244,581,Query,-,528,6.5e-181,615.5,1.5,1,1,3.1e-185,7.5e-181,615.2692871,1.53,2,526,7,535,6,537,0.98,T-complex protein 1, eta subunit,,0,1.00189393939394
HORVU4Hr1G068820,HORVU4Hr1G068820,525,Query,-,528,6.5e-181,615.5,12,1,1,3.3e-185,7.9e-181,615.1967773,11.97,7,525,4,522,2,525,0.98,,,0,0.982954545454545
DYB37_008280,DYB37_008280,546,Query,-,528,6.6e-181,615.5,7.1,1,1,3.3e-185,7.9e-181,615.1934814,7.09,5,519,23,542,19,545,0.97,hypothetical protein,,1,0.984848484848485
DICPUDRAFT_49207,DICPUDRAFT_49207,548,Query,-,528,6.6e-181,615.4,22.9,1,1,3.2e-185,7.7e-181,615.2374268,22.91,13,525,11,539,1,542,0.97,hypothetical protein,,0,1.00189393939394
Tc08v2_g004620,Tc08v2_g004620,527,Query,-,528,6.7e-181,615.4,16.6,1,1,3.1e-185,7.4e-181,615.2957153,16.63,6,525,5,524,1,527,0.98,,,0,0.984848484848485
DYB38_008496,DYB38_008496,534,Query,-,528,7e-181,615.4,7.1,1,1,3.5e-185,8.4e-181,615.1136475,7.09,5,519,11,530,7,533,0.97,hypothetical protein,,4,0.984848484848485
HORVU4Hr1G068820,HORVU4Hr1G068820,559,Query,-,528,7.1e-181,615.4,12.1,1,1,3.5e-185,8.3e-181,615.12677,12.12,7,525,38,556,33,559,0.98,,,0,0.982954545454545
TRIDC5BG054220,TRIDC5BG054220,545,Query,-,528,7.1e-181,615.3,11.6,1,1,3.5e-185,8.4e-181,615.1095581,11.56,7,525,24,542,19,545,0.98,,,0,0.982954545454545
BRADI_2g16500v3,BRADI_2g16500v3,525,Query,-,528,7.4e-181,615.3,13.8,1,1,3.8e-185,9e-181,615.0152588,13.79,7,525,4,522,2,525,0.98,hypothetical protein,,0,0.982954545454545
B5M09_011564,B5M09_011564,546,Query,-,528,7.6e-181,615.3,7.1,1,1,3.8e-185,9.1e-181,614.9899902,7.08,5,519,23,542,19,545,0.97,hypothetical protein,,0,0.984848484848485
maker-pag1_scaffold_5-fgenesh-gene-0.18,maker-pag1_scaffold_5-fgenesh-gene-0.18,546,Query,-,528,7.6e-181,615.2,16,1,1,3.8e-185,9.1e-181,614.9971313,16.04,13,526,11,545,2,546,0.98,T-complex protein 1 subunit alpha.[Source:PGD;Acc:maker-pag1_scaffold_5-fgenesh-gene-0.18],,0,1.01325757575758
